Name,Owner,Stars,Forks,Last Updated,License,URL
interviews,kdn251,64008,12916,2024-05-13T08:48:36Z,MIT License,https://github.com/kdn251/interviews
Java,TheAlgorithms,61053,19732,2025-03-12T16:35:21Z,MIT License,https://github.com/TheAlgorithms/Java
Stirling-PDF,Stirling-Tools,53902,4455,2025-03-12T15:58:49Z,MIT License,https://github.com/Stirling-Tools/Stirling-PDF
tutorials,eugenp,37070,54407,2025-03-12T16:24:52Z,MIT License,https://github.com/eugenp/tutorials
spring-boot-demo,xkcoding,33472,10945,2024-07-24T02:02:52Z,MIT License,https://github.com/xkcoding/spring-boot-demo
ruoyi-vue-pro,YunaiV,29576,6397,2025-02-15T02:03:30Z,MIT License,https://github.com/YunaiV/ruoyi-vue-pro
SpringAll,wuyouzhuguli,28646,8181,2024-05-31T14:56:35Z,MIT License,https://github.com/wuyouzhuguli/SpringAll
JCSprout,crossoverJie,27106,7075,2024-05-21T02:46:20Z,MIT License,https://github.com/crossoverJie/JCSprout
jenkins,jenkinsci,23727,8975,2025-03-12T17:38:29Z,MIT License,https://github.com/jenkinsci/jenkins
litemall,linlinjava,19521,7254,2025-01-04T11:44:29Z,MIT License,https://github.com/linlinjava/litemall
Algorithms,williamfiset,17738,4437,2024-12-30T10:03:15Z,MIT License,https://github.com/williamfiset/Algorithms
fresco,facebook,17098,3759,2025-03-12T19:00:56Z,MIT License,https://github.com/facebook/fresco
yudao-cloud,YunaiV,16871,4169,2025-02-09T04:56:51Z,MIT License,https://github.com/YunaiV/yudao-cloud
JustAuth,justauth,16787,2793,2024-12-14T09:34:26Z,MIT License,https://github.com/justauth/JustAuth
java8-tutorial,winterbe,16770,4046,2023-08-11T18:44:34Z,MIT License,https://github.com/winterbe/java8-tutorial
tech-interview-for-developer,gyoogle,15416,3505,2024-11-19T23:41:00Z,MIT License,https://github.com/gyoogle/tech-interview-for-developer
mockito,mockito,15060,2595,2025-03-12T12:46:24Z,MIT License,https://github.com/mockito/mockito
onedev,theonedev,13763,883,2025-03-12T14:01:14Z,MIT License,https://github.com/theonedev/onedev
piggymetrics,sqshq,13407,6194,2024-05-17T09:38:48Z,MIT License,https://github.com/sqshq/piggymetrics
stetho,facebook,12689,1129,2024-10-26T03:44:45Z,MIT License,https://github.com/facebook/stetho
AndroidSwipeLayout,daimajia,12399,2670,2023-11-10T08:30:13Z,MIT License,https://github.com/daimajia/AndroidSwipeLayout
Mybatis-PageHelper,pagehelper,12280,3133,2024-09-30T09:24:35Z,MIT License,https://github.com/pagehelper/Mybatis-PageHelper
jedis,redis,11988,3883,2025-03-10T11:26:55Z,MIT License,https://github.com/redis/jedis
FlycoTabLayout,H07000223,11087,2416,2023-05-28T16:32:48Z,MIT License,https://github.com/H07000223/FlycoTabLayout
jsoup,jhy,11077,2218,2025-03-12T02:02:11Z,MIT License,https://github.com/jhy/jsoup
Java-WebSocket,TooTallNate,10613,2590,2025-02-17T08:49:17Z,MIT License,https://github.com/TooTallNate/Java-WebSocket
zfile,zfile-dev,9917,1861,2024-10-26T02:17:40Z,MIT License,https://github.com/zfile-dev/zfile
spider-flow,ssssssss-team,9842,1904,2023-06-14T22:27:23Z,MIT License,https://github.com/ssssssss-team/spider-flow
android-Ultra-Pull-To-Refresh,liaohuqiu,9581,2651,2023-05-28T15:12:24Z,MIT License,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh
cim,crossoverJie,9376,2861,2024-11-20T09:47:50Z,MIT License,https://github.com/crossoverJie/cim
